Country;y1975;y1976;y1977;y1978;y1979;y1980;y1981;y1982;y1983;y1984;y1985;y1986;y1987;y1988;y1989;y1990;y1991;y1992;y1993;y1994;y1995;y1996;y1997;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013;y2014;y2015;y2016
South Korea;7.54;;;;;8.61;;;;;9.52;;;;;10.46;;;;;11.17;;;;;11.8;;;;;12.27;;;;;12.96;;;;;;
Spain;6.19;;;;;7.24;;;;;7.24;;;;;7.51;;;;;8.72;;;;;9.65;;;;;10.64;;;;;10.75;;;;;;
Sri Lanka;6.97;;;;;7.22;;;;;7.89;;;;;8.9;;;;;9.83;;;;;10.77;;;;;10.83;;;;;10.67;;;;;;
Sudan;1.03;;;;;1.42;;;;;1.93;;;;;2.4;;;;;2.78;;;;;3.09;;;;;3.31;;;;;3.49;;;;;;
Swaziland;3.96;;;;;4.6;;;;;5.26;;;;;5.28;;;;;5.2;;;;;4.62;;;;;4.64;;;;;5.33;;;;;;
Sweden;9.62;;;;;10.3;;;;;10.65;;;;;11.03;;;;;11.41;;;;;11.72;;;;;11.86;;;;;11.95;;;;;;
Switzerland;10.55;;;;;11.32;;;;;10.67;;;;;10.54;;;;;10.41;;;;;10.14;;;;;10.82;;;;;12.92;;;;;;
Syria;2.89;;;;;3.55;;;;;4.26;;;;;4.68;;;;;4.77;;;;;4.79;;;;;6.12;;;;;7.07;;;;;;
Taiwan;6.07;;;;;7.1;;;;;7.89;;;;;8.68;;;;;9.55;;;;;10.38;;;;;11.35;;;;;11.96;;;;;;
Thailand;3.24;;;;;3.9;;;;;4.45;;;;;5.21;;;;;5.79;;;;;6.09;;;;;7.46;;;;;8.47;;;;;;
Togo;1.93;;;;;2.95;;;;;3.65;;;;;4.3;;;;;4.62;;;;;5.05;;;;;5.44;;;;;6.09;;;;;;
Trinidad and Tobago;7.03;;;;;7.57;;;;;8.13;;;;;8.71;;;;;9.22;;;;;9.72;;;;;10.27;;;;;10.96;;;;;;
